Date,,,,Day Temp. oC,Night Temp. oC
1/1/2019,1,January,2019,22,6
2/1/2019,2,January,2019,24,8
3/1/2019,3,January,2019,19,8
4/1/2019,4,January,2019,17,8
5/1/2019,5,January,2019,22,8
6/1/2019,6,January,2019,19,11
7/1/2019,7,January,2019,19,8
8/1/2019,8,January,2019,19,8
9/1/2019,9,January,2019,21,8
10/1/2019,10,January,2019,21,6
11/1/2019,11,January,2019,22,8
12/1/2019,12,January,2019,23,9
13/1/2019,13,January,2019,22,9
14/1/2019,14,January,2019,19,7
15/1/2019,15,January,2019,18,6
16/1/2019,16,January,2019,22,6
17/1/2019,17,January,2019,21,6
18/1/2019,18,January,2019,20,7
19/1/2019,19,January,2019,24,8
20/1/2019,20,January,2019,28,8
21/1/2019,21,January,2019,23,13
22/1/2019,22,January,2019,18,12
23/1/2019,23,January,2019,18,10
24/1/2019,24,January,2019,22,10
25/1/2019,25,January,2019,19,10
26/1/2019,26,January,2019,19,7
27/1/2019,27,January,2019,17,5
28/1/2019,28,January,2019,19,5
29/1/2019,29,January,2019,21,5
30/1/2019,30,January,2019,21,6
31/1/2019,31,January,2019,20,11
1/2/2019,1,February,2019,22,11
2/2/2019,2,February,2019,17,8
3/2/2019,3,February,2019,18,10
4/2/2019,4,February,2019,22,7
5/2/2019,5,February,2019,25,10
6/2/2019,6,February,2019,25,14
7/2/2019,7,February,2019,19,12
8/2/2019,8,February,2019,20,8
9/2/2019,9,February,2019,21,8
10/2/2019,10,February,2019,20,8
11/2/2019,11,February,2019,22,8
12/2/2019,12,February,2019,22,12
13/2/2019,13,February,2019,25,13
14/2/2019,14,February,2019,22,14
15/2/2019,15,February,2019,21,13
16/2/2019,16,February,2019,20,12
17/2/2019,17,February,2019,22,10
18/2/2019,18,February,2019,26,12
19/2/2019,19,February,2019,24,13
20/2/2019,20,February,2019,21,16
21/2/2019,21,February,2019,29,15
22/2/2019,22,February,2019,24,15
23/2/2019,23,February,2019,23,9
24/2/2019,24,February,2019,24,11
25/2/2019,25,February,2019,26,12
26/2/2019,26,February,2019,24,11
27/2/2019,27,February,2019,22,10
28/2/2019,28,February,2019,22,10
1/3/2019,1,March,2019,25,9
2/3/2019,2,March,2019,19,13
3/3/2019,3,March,2019,22,12
4/3/2019,4,March,2019,24,13
5/3/2019,5,March,2019,24,12
6/3/2019,6,March,2019,26,11
7/3/2019,7,March,2019,28,11
8/3/2019,8,March,2019,28,13
9/3/2019,9,March,2019,28,14
10/3/2019,10,March,2019,28,12
11/3/2019,11,March,2019,29,15
12/3/2019,12,March,2019,28,14
13/3/2019,13,March,2019,23,16
14/3/2019,14,March,2019,25,14
15/3/2019,15,March,2019,27,10
16/3/2019,16,March,2019,27,14
17/3/2019,17,March,2019,29,14
18/3/2019,18,March,2019,30,13
19/3/2019,19,March,2019,32,14
20/3/2019,20,March,2019,34,18
21/3/2019,21,March,2019,32,18
22/3/2019,22,March,2019,31,16
23/3/2019,23,March,2019,32,17
24/3/2019,24,March,2019,33,16
25/3/2019,25,March,2019,32,17
26/3/2019,26,March,2019,31,17
27/3/2019,27,March,2019,33,17
28/3/2019,28,March,2019,36,18
29/3/2019,29,March,2019,38,20
30/3/2019,30,March,2019,40,22
31/3/2019,31,March,2019,36,22
1/4/2019,1,April,2019,37,17
2/4/2019,2,April,2019,37,18
3/4/2019,3,April,2019,38,19
4/4/2019,4,April,2019,40,21
